origin,destination,landing_data,takeoff_data
SBGR,KMIA,01/01/2023 06:30,01/01/2023 06:30
KMIA,SBGR,02/01/2023 06:20,02/01/2023 06:20
SBGR,KMIA,02/01/2023 06:55,02/01/2023 06:55
SBGR,KJFK,02/01/2023 09:03,02/01/2023 09:03
KJFK,SBGR,01/01/2023 10:25,01/01/2023 10:25
KMIA,SBGR,02/01/2023 07:25,02/01/2023 07:25
SBGR,KMIA,01/01/2023 19:10,01/01/2023 19:10
SBGR,KDFW,02/01/2023 08:13,02/01/2023 08:13
KDFW,SBGR,02/01/2023 08:35,02/01/2023 08:35
KMIA,SBGR,01/01/2023 09:15,01/01/2023 09:15
SBGR,KMIA,02/01/2023 06:30,02/01/2023 06:30
KMIA,SBGR,03/01/2023 06:20,03/01/2023 06:20
SBGR,KMIA,03/01/2023 06:55,03/01/2023 06:55
SBGR,KJFK,03/01/2023 09:03,03/01/2023 09:03
KJFK,SBGR,02/01/2023 10:25,02/01/2023 10:25
KMIA,SBGR,03/01/2023 07:30,03/01/2023 07:30
SBGR,KMIA,02/01/2023 19:10,02/01/2023 19:10
SBGR,KDFW,03/01/2023 08:13,03/01/2023 08:13
KDFW,SBGR,03/01/2023 08:35,03/01/2023 08:35
KMIA,SBGR,02/01/2023 09:15,02/01/2023 09:15
SBGR,KMIA,03/01/2023 06:30,03/01/2023 06:30
KMIA,SBGR,04/01/2023 06:20,04/01/2023 06:20
SBGR,KMIA,04/01/2023 06:55,04/01/2023 06:55
SBGR,KJFK,04/01/2023 09:03,04/01/2023 09:03
KJFK,SBGR,03/01/2023 10:25,03/01/2023 10:25
KMIA,SBGR,04/01/2023 07:30,04/01/2023 07:30
SBGR,KMIA,03/01/2023 19:10,03/01/2023 19:10
SBGR,KDFW,04/01/2023 08:13,04/01/2023 08:13
KDFW,SBGR,04/01/2023 08:35,04/01/2023 08:35
KMIA,SBGR,03/01/2023 09:15,03/01/2023 09:15
SBGR,KMIA,04/01/2023 06:30,04/01/2023 06:30
KMIA,SBGR,05/01/2023 06:20,05/01/2023 06:20
SBGR,KMIA,05/01/2023 06:55,05/01/2023 06:55
SBGR,KJFK,05/01/2023 09:03,05/01/2023 09:03
KJFK,SBGR,04/01/2023 10:25,04/01/2023 10:25
KMIA,SBGR,05/01/2023 07:35,05/01/2023 07:35
SBGR,KMIA,04/01/2023 19:10,04/01/2023 19:10
SBGR,KDFW,05/01/2023 08:13,05/01/2023 08:13
KDFW,SBGR,05/01/2023 08:35,05/01/2023 08:35
KMIA,SBGR,04/01/2023 09:15,04/01/2023 09:15
SBGR,KMIA,05/01/2023 06:30,05/01/2023 06:30
KMIA,SBGR,06/01/2023 06:20,06/01/2023 06:20
SBGR,KMIA,06/01/2023 06:55,06/01/2023 06:55
SBGR,KJFK,06/01/2023 09:03,06/01/2023 09:03
KJFK,SBGR,05/01/2023 10:25,05/01/2023 10:25
KMIA,SBGR,06/01/2023 07:35,06/01/2023 07:35
SBGR,KMIA,05/01/2023 19:10,05/01/2023 19:10
SBGR,KDFW,06/01/2023 08:13,06/01/2023 08:13
KDFW,SBGR,06/01/2023 08:35,06/01/2023 08:35
KMIA,SBGR,05/01/2023 09:15,05/01/2023 09:15
SBGR,KMIA,06/01/2023 06:30,06/01/2023 06:30
KMIA,SBGR,07/01/2023 06:20,07/01/2023 06:20
SBGR,KMIA,07/01/2023 06:55,07/01/2023 06:55
SBGR,KJFK,07/01/2023 09:03,07/01/2023 09:03
KJFK,SBGR,06/01/2023 10:25,06/01/2023 10:25
KMIA,SBGR,07/01/2023 07:35,07/01/2023 07:35
SBGR,KMIA,06/01/2023 19:10,06/01/2023 19:10
SBGR,KDFW,07/01/2023 08:13,07/01/2023 08:13
KDFW,SBGR,07/01/2023 08:35,07/01/2023 08:35
KMIA,SBGR,06/01/2023 09:15,06/01/2023 09:15
SBGR,KMIA,07/01/2023 06:30,07/01/2023 06:30
KMIA,SBGR,08/01/2023 06:20,08/01/2023 06:20
SBGR,KMIA,08/01/2023 06:55,08/01/2023 06:55
KJFK,SBGR,07/01/2023 10:25,07/01/2023 10:25
KMIA,SBGR,08/01/2023 07:35,08/01/2023 07:35
SBGR,KMIA,07/01/2023 19:10,07/01/2023 19:10
KDFW,SBGR,08/01/2023 08:35,08/01/2023 08:35
KMIA,SBGR,07/01/2023 09:15,07/01/2023 09:15
SBGR,KMIA,08/01/2023 06:30,08/01/2023 06:30
KMIA,SBGR,09/01/2023 06:20,09/01/2023 06:20
SBGR,KMIA,09/01/2023 06:55,09/01/2023 06:55
SBGR,KJFK,09/01/2023 09:03,09/01/2023 09:03
KJFK,SBGR,08/01/2023 10:25,08/01/2023 10:25
SBGR,KMIA,08/01/2023 19:10,08/01/2023 19:10
SBGR,KDFW,09/01/2023 08:13,09/01/2023 08:13
KDFW,SBGR,09/01/2023 08:35,09/01/2023 08:35
KMIA,SBGR,08/01/2023 09:15,08/01/2023 09:15
SBGR,KMIA,09/01/2023 06:30,09/01/2023 06:30
KMIA,SBGR,10/01/2023 06:20,10/01/2023 06:20
SBGR,KMIA,10/01/2023 06:55,10/01/2023 06:55
SBGR,KJFK,10/01/2023 09:03,10/01/2023 09:03
KJFK,SBGR,09/01/2023 10:25,09/01/2023 10:25
SBGR,KMIA,09/01/2023 19:10,09/01/2023 19:10
SBGR,KDFW,10/01/2023 08:13,10/01/2023 08:13
KDFW,SBGR,10/01/2023 08:35,10/01/2023 08:35
KMIA,SBGR,09/01/2023 09:15,09/01/2023 09:15
